Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA,RSI,MACD,Signal_Line,MACD_Histogram
2023-10-10 00:00:00-04:00,45.29317665886047,46.24182177038048,45.071258970878525,45.7809944152832,368582000,0.0,0.0,,,0.0,0.0,0.0
2023-10-11 00:00:00-04:00,46.17884588702422,46.84160171871978,46.032900190504705,46.78861999511719,378137000,0.0,0.0,,,0.08038038813490544,0.01607607762698109,0.06430431050792436
2023-10-12 00:00:00-04:00,46.75962964777431,47.59132141422763,46.3127970458529,46.92756652832031,481325000,0.0,0.0,,,0.15352451381652088,0.04356576486488905,0.10995874895163182
2023-10-13 00:00:00-04:00,46.942558517598286,47.098502624368315,45.263182151056284,45.444114685058594,474115000,0.0,0.0,,,0.09074355910384213,0.05300132371267967,0.03774223539116246
2023-10-16 00:00:00-04:00,45.04626639383732,46.207833655356794,44.89532148876171,46.077884674072266,375099000,0.0,0.0,,,0.09107923691004771,0.06061690635215328,0.030462330557894435
2023-10-17 00:00:00-04:00,43.98366151728547,44.73738315193545,42.46422548000373,43.92168426513672,812333000,0.0,0.0,,,-0.08170029870569095,0.03215346534058443,-0.11385376404627538
2023-10-18 00:00:00-04:00,42.575185981795975,43.20295497748339,41.80947154933942,42.18033218383789,627294000,0.0,0.0,,,-0.3550491003463634,-0.04528704779680515,-0.30976205254955824
2023-10-19 00:00:00-04:00,42.79510456302502,43.28092416614882,41.866448658188794,42.08536911010742,501233000,0.0,0.0,,,-0.5727405251732947,-0.15077774327210305,-0.42196278190119163
2023-10-20 00:00:00-04:00,41.87443932058439,42.454225709560305,41.06274066398629,41.37162780761719,477266000,0.0,0.0,,,-0.7937061553625853,-0.2793634256901995,-0.5143427296723857
2023-10-23 00:00:00-04:00,41.21369517243649,43.231946691364044,40.929800201575475,42.95904541015625,478530000,0.0,0.0,,,-0.8311506875834027,-0.38972087806884015,-0.44142980951456257
2023-10-24 00:00:00-04:00,43.06100102394639,43.680769690492056,42.67514660989255,43.64678192138672,401463000,0.0,0.0,,,-0.7961535972584386,-0.4710074219067599,-0.32514617535167867
2023-10-25 00:00:00-04:00,43.38187926803847,43.63378838143873,41.53956531780791,41.76348114013672,398379000,0.0,0.0,,,-0.9098960691860825,-0.5587851513626245,-0.35111091782345794
2023-10-26 00:00:00-04:00,41.837460992365465,42.24031124000929,39.86519397688078,40.31102752685547,541001000,0.0,0.0,,,-1.1045066010243545,-0.6679294412949706,-0.43657715972938393
2023-10-27 00:00:00-04:00,41.114725739824124,41.19069772762215,40.00013816338119,40.48495864868164,416784000,0.0,0.0,,30.748535261062713,-1.2305174227915714,-0.7804470375942908,-0.4500703851972806
2023-10-30 00:00:00-04:00,41.071747596041774,41.75049254735998,40.46596977662881,41.14571762084961,388028000,0.0,0.0,,33.92276108660124,-1.2625107420910453,-0.8768597784936417,-0.3856509635974036
2023-10-31 00:00:00-04:00,40.434978965187184,40.86382050289445,39.21543081274733,40.764854431152344,517969000,0.0,0.0,,28.15717268002591,-1.303571394941514,-0.9622021017832162,-0.3413692931582978
2023-11-01 00:00:00-04:00,40.86882109051677,42.36526699140607,40.85382726924343,42.309288024902344,437593000,0.0,0.0,,34.80266946916407,-1.1976832277879907,-1.009298326984171,-0.18838490080381964
2023-11-02 00:00:00-04:00,43.311906170895455,43.86769941657272,42.878069259150145,43.48984146118164,409172000,0.0,0.0,,43.43828218840995,-1.0068983984598106,-1.008818341279299,0.0019199428194884849
2023-11-03 00:00:00-04:00,44.00365403986176,45.292173032715084,43.706763443369326,44.98828887939453,424610000,0.0,0.0,,46.54231655626926,-0.7264142122231974,-0.9523375154680788,0.2259233032448814
2023-11-06 00:00:00-05:00,45.26818602105663,45.917946208460904,44.882327752320265,45.734012603759766,400733000,0.0,0.0,43.40877456665039,56.3166360556853,-0.43889548759018737,-0.8496491098925005,0.41075362230231316
2023-11-07 00:00:00-05:00,45.7020262562231,46.20083771282599,45.14123373244881,45.93793869018555,343165000,0.0,0.0,43.41662178039551,64.66869549315791,-0.192362263532182,-0.7181917406204369,0.5258294770882549
2023-11-08 00:00:00-05:00,46.0828786635961,46.84959593349214,45.95092771395189,46.556705474853516,346719000,0.0,0.0,43.405026054382326,66.76912019108889,0.05234302319369277,-0.564084787857611,0.6164278110513037
2023-11-09 00:00:00-05:00,47.44937391903492,48.21209109497669,46.73264109646829,46.93256759643555,540496000,0.0,0.0,43.40527610778808,71.39781789572108,0.2734504908892461,-0.39657773210823954,0.6700282229974857
